time,"Berechnete Motorlast (%)","Durchschnittsgeschwindigkeit (km/h)","Durchschnittsgeschwindigkeit (GPS) (km/h)","Eingangsspannung Steuergerät (V)","EV Instant Energy Consumption (km/kWh)","EV Instant Energy Consumption [kWh/100km] (kWh/100km)","Fahrzeugbeschleunigung (g)","Gaspedalstellung D (%)","Geschwindigkeit (km/h)","Geschwindigkeit (GPS) (km/h)","Höhe (GPS) (m)","Hybrid- / EV-Batteriesystemspannung (V)","Hybrid- / EV-Batteriesystemstrom (A)","Hybrid/EV Battery Power (hp)","Kühlmitteltemperatur (℃)","Motordrehzahl (rpm)","OBD Modul (V)","verbleibende Nutzungsdauer Hybrid-Akku (%)","zurückgelegte Strecke (km)","zurückgelegte Strecke (gesamt) (km)",Latitude,Longtitude,
13:48:50.537,,,,,,,,,,0,,,,,,,,,,,50.60738869,6.30149369,
13:48:50.540,,,,,,,,,,,593.958984375,,,,,,,,,,50.60738869,6.30149369,
13:48:50.541,,,0,,,,,,,0,,,,,,,,,,,50.60738869,6.30149369,
13:48:50.542,,,,,,,,,,,593.958984375,,,,,,,,,,50.60738869,6.30149369,
13:48:50.551,,,,,,,,,,,593.958984375,,,,,,,,,,50.60738869,6.30149369,
13:48:51.631,,,,,,,,,,,594.767333984375,,,,,,,,,,50.60739442,6.30149466,
13:48:51.894,,,,14.414,,,,14,0,,,,,,,,,,,,50.60739442,6.30149466,
13:48:52.016,,,,,,,,,,,,,,,,,14.2,,,,50.60739442,6.30149466,
13:48:52.018,,,,,,,,,,,591.700012207031,,,,,,,,,,50.6073856,6.3014164,
13:48:52.046,100,,,,,,,,,,,,,,,,,,,,50.6073856,6.3014164,
13:48:52.196,,,,,,,,,,,,,,,215,,,,,,50.6073856,6.3014164,
13:48:52.288,,,,,,,,,,,,,,,,0,,,,,50.6073856,6.3014164,
13:48:52.460,,,,,,,,,,,,,,,,,,74,,,50.6073856,6.3014164,
13:48:52.527,,,,,,,,,,,,1023.984375,-3.3,,,,,,,,50.6073856,6.3014164,
13:48:52.558,,,0,,,,,,,0,595.166259765625,,,,,,,,,,50.6073856,6.3014164,
13:48:52.559,,,0,,,,,,,0,,,,,,,,,,,50.6073856,6.3014164,
13:48:52.560,,,,,,,,,,,595.166259765625,,,,,,,,,,50.6073856,6.3014164,
13:48:52.564,,,,,,,,,,,595.166259765625,,,,,,,,,,50.60739929,6.30149402,
13:48:52.648,,,,14.414,,,,14,0,,,,,,,,,,0,574.734171604833,50.60739929,6.30149402,
13:48:52.696,,,,,,,,,,,,,,,,,14.2,,,,50.60739929,6.30149402,
13:48:52.790,100,,,,,,,,,,,,,,,,,,,,50.60739929,6.30149402,
13:48:52.885,,,,,,,,,,,,,,,,0,,,,,50.60739929,6.30149402,
13:48:52.994,,,,,,,,,,,,,,,,,,74,,,50.60739929,6.30149402,
13:48:53.047,,,,,,,,,,,,1023.984375,-3.3,-4.59436326370371,,,,,,,50.60739929,6.30149402,
13:48:53.139,,0,,14.414,0,,,14,0,,,,,,,,,,0,574.734171604833,50.60739929,6.30149402,
13:48:53.169,,,,,,,,,,,,,,,,,14.2,,,,50.60739929,6.30149402,
13:48:53.220,100,,,,,,,,,,,,,,,,,,,,50.60739929,6.30149402,
13:48:53.278,,,,,,,,,,,,,,,215,,,,,,50.60739929,6.30149402,
13:48:53.322,,,,,,,,,,,,,,,,0,,,,,50.60739929,6.30149402,
13:48:53.392,,,,,,,,,,,,,,,,,,74,,,50.60739929,6.30149402,
13:48:53.436,,,,,,,,,,,,1023.984375,-3.3,-4.59436326370371,,,,,,,50.60739929,6.30149402,
13:48:53.520,,0,,14.414,0,,,14,0,,,,,,,,,,0,574.734171604833,50.60739929,6.30149402,
13:48:53.570,,,,,,,,,,,594.166015625,,,,,,14.2,,,,50.60740185,6.30149491,
13:48:53.595,100,,,,,,,,,,,,,,,,,,,,50.60740185,6.30149491,
13:48:53.651,,,,,,,,,,,,,,,,0,,,,,50.60740185,6.30149491,
13:48:53.729,,,,,,,,,,,,,,,,,,74,,,50.60740185,6.30149491,
13:48:53.773,,,,,,,,,,,,1023.984375,-3.3,-4.59436326370371,,,,,,,50.60740185,6.30149491,
13:48:53.852,,0,,14.414,0,,0,14,0,,,,,,,,,,0,574.734171604833,50.60740185,6.30149491,
13:48:53.899,,,,,,,,,,,,,,,,,14.2,,,,50.60740185,6.30149491,
13:48:53.942,100,,,,,,,,,,,,,,,,,,,,50.60740185,6.30149491,
13:48:53.976,,,,,,,,,,,,,,,215,,,,,,50.60740185,6.30149491,
